SaleID,WatchID,Date,Quantity,Sale Price (USD),Revenue (USD),Region,Retailer Type,Customer Segment
276,3,2023-01-12,1,12250.28,12250.28,India,Authorized Dealer,First-time Buyer
722,4,2023-01-12,1,44677.55,44677.55,India,Authorized Dealer,First-time Buyer
954,2,2023-01-14,1,14790.46,14790.46,Europe,Boutique Store,First-time Buyer
1455,7,2023-01-14,1,27751.08,27751.08,India,Authorized Dealer,Investor
752,7,2023-01-15,1,28195.71,28195.71,Europe,Boutique Store,Collector
768,5,2023-01-17,1,31357.49,31357.49,Middle East,Boutique Store,First-time Buyer
1294,5,2023-01-17,1,32399.31,32399.31,India,Authorized Dealer,Collector
817,5,2023-01-17,1,32854.54,32854.54,North America,Boutique Store,First-time Buyer
266,2,2023-01-18,1,15668.84,15668.84,North America,Boutique Store,Collector
700,1,2023-01-19,1,10323.89,10323.89,Asia Pacific,Authorized Dealer,Investor
319,3,2023-01-20,1,13052.89,13052.89,Europe,Boutique Store,First-time Buyer
1171,5,2023-01-20,1,31216.08,31216.08,Europe,Boutique Store,Gift Purchase
830,7,2023-01-20,1,27106.16,27106.16,Asia Pacific,Auction House,Collector
891,2,2023-01-21,1,15507.69,15507.69,North America,Online Exclusive,Gift Purchase
310,8,2023-01-22,1,33581.11,33581.11,North America,Boutique Store,First-time Buyer
9,3,2023-01-22,1,12296.1,12296.1,Europe,Authorized Dealer,First-time Buyer
508,9,2023-01-23,1,231979.9,231979.9,Europe,Boutique Store,Collector
1210,3,2023-01-23,1,12623.81,12623.81,Europe,Authorized Dealer,Investor
1575,5,2023-01-23,1,30737.54,30737.54,North America,Authorized Dealer,Investor
1461,5,2023-01-24,1,30861.92,30861.92,Asia Pacific,Boutique Store,Collector
1388,4,2023-01-24,1,45736.24,45736.24,Europe,Boutique Store,Collector
262,3,2023-01-24,1,12759.46,12759.46,North America,Online Exclusive,Investor
1040,7,2023-01-24,1,27216.22,27216.22,North America,Authorized Dealer,Collector
389,3,2023-01-24,1,12537.93,12537.93,North America,Boutique Store,Investor
286,4,2023-01-24,1,44384.32,44384.32,Europe,Boutique Store,Investor
402,8,2023-01-24,1,36766.39,36766.39,Asia Pacific,Auction House,First-time Buyer
1209,5,2023-01-24,1,32561.69,32561.69,Middle East,Online Exclusive,Collector
192,2,2023-01-24,1,14826.8,14826.8,Europe,Authorized Dealer,First-time Buyer
674,6,2023-01-25,1,37647.36,37647.36,Asia Pacific,Authorized Dealer,Collector
610,3,2023-01-26,1,12848.81,12848.81,India,Auction House,Investor
1501,5,2023-01-26,1,32727.31,32727.31,Asia Pacific,Boutique Store,Gift Purchase
983,6,2023-01-26,1,40207.78,40207.78,Middle East,Boutique Store,Collector
1481,9,2023-01-26,1,228093.31,228093.31,Europe,Auction House,Collector
1138,6,2023-01-27,1,40007.02,40007.02,Middle East,Boutique Store,First-time Buyer
1460,6,2023-01-27,1,37545.84,37545.84,Asia Pacific,Authorized Dealer,First-time Buyer
1440,1,2023-01-27,1,10894.16,10894.16,Asia Pacific,Online Exclusive,First-time Buyer
772,1,2023-01-27,1,10823.7,10823.7,Europe,Boutique Store,Investor
723,3,2023-01-28,1,13215.75,13215.75,Europe,Authorized Dealer,Investor
1548,1,2023-01-29,1,10727.55,10727.55,North America,Authorized Dealer,Gift Purchase
457,7,2023-01-29,1,28379.57,28379.57,Asia Pacific,Boutique Store,Gift Purchase
1405,3,2023-01-29,1,12998.08,12998.08,North America,Authorized Dealer,Investor
309,3,2023-01-30,1,12791.46,12791.46,North America,Auction House,Investor
818,2,2023-01-30,1,15989.41,15989.41,North America,Boutique Store,First-time Buyer
1640,2,2023-01-30,1,15188.12,15188.12,Asia Pacific,Auction House,Collector
1610,1,2023-01-30,1,10955.21,10955.21,Asia Pacific,Authorized Dealer,Collector
414,1,2023-01-31,1,10648.93,10648.93,North America,Authorized Dealer,Investor
952,9,2023-01-31,1,209352.14,209352.14,Asia Pacific,Authorized Dealer,Collector
454,5,2023-01-31,1,31758.59,31758.59,North America,Boutique Store,Gift Purchase
1259,5,2023-02-01,1,32080.9,32080.9,Europe,Boutique Store,First-time Buyer
77,1,2023-02-01,1,10435.73,10435.73,India,Authorized Dealer,First-time Buyer
729,11,2023-02-01,1,955047.63,955047.63,Asia Pacific,Online Exclusive,Collector
574,2,2023-02-01,1,14481.15,14481.15,Europe,Authorized Dealer,Investor
826,5,2023-02-01,1,31029.11,31029.11,Middle East,Authorized Dealer,First-time Buyer
241,8,2023-02-02,1,34488.2,34488.2,Europe,Online Exclusive,First-time Buyer
1086,1,2023-02-02,1,10213.81,10213.81,Europe,Authorized Dealer,Collector
1153,3,2023-02-02,1,12338.13,12338.13,Europe,Boutique Store,Collector
518,5,2023-02-02,1,32981.05,32981.05,Europe,Auction House,Gift Purchase
243,5,2023-02-02,1,33612.47,33612.47,India,Boutique Store,Collector
211,9,2023-02-03,1,210333.51,210333.51,Europe,Authorized Dealer,Gift Purchase
655,3,2023-02-04,1,12997.16,12997.16,Europe,Boutique Store,First-time Buyer
897,2,2023-02-04,1,15194.71,15194.71,North America,Boutique Store,First-time Buyer
1617,3,2023-02-04,1,12503.01,12503.01,Asia Pacific,Boutique Store,Collector
1555,2,2023-02-05,1,16196.91,16196.91,Middle East,Boutique Store,Investor
1310,4,2023-02-06,1,48081.25,48081.25,Europe,Authorized Dealer,Gift Purchase
302,1,2023-02-06,2,11009.49,22018.98,North America,Authorized Dealer,First-time Buyer
463,2,2023-02-07,1,15895.09,15895.09,North America,Boutique Store,First-time Buyer
1524,8,2023-02-07,1,36847.49,36847.49,North America,Authorized Dealer,Gift Purchase
590,3,2023-02-08,1,12597.7,12597.7,India,Online Exclusive,Collector
978,9,2023-02-09,1,220900.76,220900.76,Asia Pacific,Boutique Store,Collector
217,7,2023-02-10,1,29414.8,29414.8,Asia Pacific,Auction House,First-time Buyer
743,3,2023-02-10,1,12111.1,12111.1,Asia Pacific,Authorized Dealer,Collector
1016,4,2023-02-10,1,46050.92,46050.92,North America,Authorized Dealer,Collector
1637,7,2023-02-11,1,27099.83,27099.83,North America,Boutique Store,Collector
257,6,2023-02-11,1,38367.24,38367.24,Europe,Boutique Store,Investor
1595,1,2023-02-12,1,11330.85,11330.85,Europe,Boutique Store,Investor
911,2,2023-02-13,1,16072.65,16072.65,India,Boutique Store,Collector
1051,11,2023-02-14,1,1000812.42,1000812.42,India,Online Exclusive,First-time Buyer
1451,9,2023-02-15,1,215200.1,215200.1,North America,Boutique Store,Investor
19,3,2023-02-15,1,12809.15,12809.15,North America,Online Exclusive,Gift Purchase
1143,1,2023-02-15,1,11258.57,11258.57,Europe,Online Exclusive,First-time Buyer
1564,7,2023-02-15,1,29643.19,29643.19,Asia Pacific,Boutique Store,Collector
805,2,2023-02-16,1,15458.16,15458.16,Middle East,Online Exclusive,Investor
1132,9,2023-02-16,1,228926.9,228926.9,North America,Boutique Store,First-time Buyer
1078,2,2023-02-16,2,15237.73,30475.46,Europe,Authorized Dealer,First-time Buyer
1645,5,2023-02-17,1,30478.06,30478.06,North America,Online Exclusive,Collector
1467,7,2023-02-17,2,29383.88,58767.76,Middle East,Authorized Dealer,Collector
268,1,2023-02-17,1,11132.19,11132.19,Middle East,Authorized Dealer,Collector
1485,3,2023-02-17,1,11967.71,11967.71,North America,Boutique Store,Gift Purchase
205,2,2023-02-17,1,14264.48,14264.48,North America,Authorized Dealer,Collector
57,3,2023-02-17,1,13053.16,13053.16,North America,Boutique Store,First-time Buyer
1037,1,2023-02-17,1,10667.73,10667.73,North America,Boutique Store,Investor
875,4,2023-02-17,1,47795.27,47795.27,India,Boutique Store,First-time Buyer
1192,1,2023-02-18,1,11142.43,11142.43,North America,Boutique Store,First-time Buyer
1424,2,2023-02-18,1,15805.2,15805.2,Middle East,Boutique Store,Collector
1619,2,2023-02-18,1,15083.0,15083.0,Europe,Boutique Store,First-time Buyer
15,2,2023-02-19,1,14789.3,14789.3,Europe,Online Exclusive,Investor
1621,2,2023-02-19,1,14287.63,14287.63,Europe,Authorized Dealer,Investor
666,3,2023-02-20,1,12264.85,12264.85,India,Boutique Store,Gift Purchase
486,6,2023-02-21,1,38048.72,38048.72,Europe,Online Exclusive,Collector
1409,8,2023-02-21,1,36069.68,36069.68,North America,Boutique Store,Investor
240,5,2023-02-22,1,31438.22,31438.22,Middle East,Online Exclusive,Collector
1324,2,2023-02-22,1,15731.34,15731.34,India,Auction House,Investor
955,8,2023-02-22,1,36507.71,36507.71,Asia Pacific,Boutique Store,Collector
1140,1,2023-02-23,1,10527.82,10527.82,Middle East,Authorized Dealer,Collector
1500,6,2023-02-23,1,37586.8,37586.8,Europe,Authorized Dealer,Collector
1350,5,2023-02-23,1,30434.25,30434.25,Middle East,Boutique Store,Collector
1332,3,2023-02-23,1,11994.05,11994.05,Middle East,Boutique Store,Investor
748,11,2023-02-24,1,905973.66,905973.66,Middle East,Online Exclusive,First-time Buyer
1000,4,2023-02-24,1,46216.56,46216.56,Europe,Online Exclusive,Collector
1506,5,2023-02-25,1,34345.83,34345.83,India,Authorized Dealer,Collector
214,1,2023-02-25,1,10716.13,10716.13,Asia Pacific,Boutique Store,Gift Purchase
922,5,2023-02-26,1,31972.1,31972.1,Europe,Authorized Dealer,Collector
50,7,2023-02-26,1,28136.09,28136.09,Europe,Authorized Dealer,Investor
1664,7,2023-02-26,1,29158.89,29158.89,North America,Auction House,First-time Buyer
341,1,2023-02-26,1,11284.4,11284.4,Europe,Online Exclusive,Collector
105,2,2023-02-27,1,15615.63,15615.63,Asia Pacific,Auction House,Investor
908,5,2023-02-27,1,30911.32,30911.32,India,Boutique Store,Investor
313,2,2023-02-27,1,15154.29,15154.29,Asia Pacific,Boutique Store,First-time Buyer
344,11,2023-02-27,1,939872.1,939872.1,Middle East,Boutique Store,Collector
1031,2,2023-02-28,1,14800.87,14800.87,India,Boutique Store,Investor
1035,4,2023-02-28,1,47572.7,47572.7,Europe,Online Exclusive,Investor
1160,1,2023-02-28,1,10539.79,10539.79,India,Boutique Store,First-time Buyer
1145,7,2023-03-01,1,27372.82,27372.82,Asia Pacific,Online Exclusive,Collector
1231,6,2023-03-01,1,39407.01,39407.01,Europe,Boutique Store,First-time Buyer
591,11,2023-03-02,1,909781.89,909781.89,Europe,Boutique Store,Gift Purchase
1063,7,2023-03-02,1,29150.83,29150.83,North America,Boutique Store,Investor
1062,7,2023-03-02,2,26624.8,53249.6,Europe,Online Exclusive,Collector
484,7,2023-03-02,1,27261.01,27261.01,Middle East,Online Exclusive,First-time Buyer
273,7,2023-03-03,1,28510.55,28510.55,Asia Pacific,Authorized Dealer,Collector
146,2,2023-03-03,1,15286.27,15286.27,North America,Authorized Dealer,Gift Purchase
1368,11,2023-03-03,1,950401.37,950401.37,North America,Boutique Store,Investor
185,6,2023-03-04,1,38955.58,38955.58,Middle East,Authorized Dealer,Collector
1385,1,2023-03-04,1,10559.04,10559.04,Europe,Auction House,Collector
570,6,2023-03-05,1,38764.94,38764.94,North America,Boutique Store,Gift Purchase
1219,5,2023-03-06,1,32387.84,32387.84,Asia Pacific,Boutique Store,First-time Buyer
197,1,2023-03-06,1,10069.12,10069.12,North America,Authorized Dealer,Gift Purchase
253,5,2023-03-07,1,32835.95,32835.95,India,Boutique Store,Collector
1526,8,2023-03-08,1,34054.98,34054.98,Asia Pacific,Boutique Store,Collector
324,5,2023-03-08,1,33722.11,33722.11,Middle East,Authorized Dealer,First-time Buyer
1195,8,2023-03-08,2,37022.69,74045.38,Middle East,Online Exclusive,First-time Buyer
1540,3,2023-03-08,1,12429.36,12429.36,North America,Online Exclusive,Investor
825,10,2023-03-09,1,261157.07,261157.07,Asia Pacific,Boutique Store,Collector
1489,5,2023-03-09,1,30810.02,30810.02,North America,Auction House,Investor
489,6,2023-03-09,1,40615.01,40615.01,Europe,Online Exclusive,First-time Buyer
131,1,2023-03-09,1,11074.37,11074.37,Europe,Authorized Dealer,Collector
1198,2,2023-03-09,1,15446.02,15446.02,India,Auction House,First-time Buyer
660,7,2023-03-10,1,28157.07,28157.07,India,Auction House,First-time Buyer
1099,4,2023-03-10,1,47448.41,47448.41,Europe,Online Exclusive,Collector
936,7,2023-03-10,1,27037.87,27037.87,Europe,Boutique Store,Gift Purchase
472,3,2023-03-10,1,12800.59,12800.59,Europe,Authorized Dealer,Collector
1702,3,2023-03-11,1,13491.83,13491.83,Asia Pacific,Authorized Dealer,Investor
916,5,2023-03-12,1,34271.45,34271.45,India,Online Exclusive,First-time Buyer
224,1,2023-03-12,1,11286.33,11286.33,India,Boutique Store,Gift Purchase
459,5,2023-03-12,1,34310.38,34310.38,Middle East,Online Exclusive,First-time Buyer
831,2,2023-03-12,1,14973.3,14973.3,Asia Pacific,Authorized Dealer,First-time Buyer
1600,9,2023-03-13,1,226280.88,226280.88,North America,Boutique Store,Collector
1042,1,2023-03-13,1,11279.48,11279.48,Asia Pacific,Boutique Store,First-time Buyer
5,4,2023-03-14,1,43881.13,43881.13,North America,Authorized Dealer,First-time Buyer
502,1,2023-03-14,1,10678.34,10678.34,North America,Boutique Store,Collector
640,6,2023-03-14,1,40624.7,40624.7,Asia Pacific,Authorized Dealer,Collector
507,1,2023-03-14,1,10992.21,10992.21,Middle East,Online Exclusive,Collector
488,5,2023-03-16,1,33678.57,33678.57,India,Authorized Dealer,First-time Buyer
1769,1,2023-03-16,1,10246.56,10246.56,Asia Pacific,Online Exclusive,First-time Buyer
230,1,2023-03-16,1,10884.08,10884.08,India,Authorized Dealer,First-time Buyer
235,4,2023-03-17,1,46497.28,46497.28,North America,Boutique Store,First-time Buyer
663,3,2023-03-17,1,12985.3,12985.3,Europe,Auction House,First-time Buyer
675,2,2023-03-18,1,15977.97,15977.97,Asia Pacific,Authorized Dealer,Collector
633,4,2023-03-18,1,47143.39,47143.39,Europe,Authorized Dealer,First-time Buyer
1361,2,2023-03-19,1,14958.12,14958.12,Europe,Online Exclusive,Collector
895,2,2023-03-19,1,15133.48,15133.48,North America,Authorized Dealer,Gift Purchase
1399,3,2023-03-19,1,13138.83,13138.83,North America,Authorized Dealer,Investor
1797,2,2023-03-20,1,15164.07,15164.07,Asia Pacific,Authorized Dealer,Gift Purchase
1601,7,2023-03-20,1,29129.08,29129.08,India,Online Exclusive,Gift Purchase
339,7,2023-03-20,1,27810.28,27810.28,Middle East,Auction House,Gift Purchase
62,7,2023-03-21,1,30188.59,30188.59,North America,Authorized Dealer,Collector
1758,8,2023-03-22,1,35040.48,35040.48,India,Auction House,Investor
601,2,2023-03-22,1,14962.96,14962.96,North America,Online Exclusive,First-time Buyer
458,3,2023-03-23,1,11921.68,11921.68,North America,Online Exclusive,Collector
800,5,2023-03-23,2,32480.36,64960.72,India,Authorized Dealer,Gift Purchase
552,5,2023-03-23,1,30692.44,30692.44,Asia Pacific,Authorized Dealer,First-time Buyer
216,6,2023-03-23,1,40672.39,40672.39,Middle East,Online Exclusive,First-time Buyer
959,1,2023-03-24,1,11134.42,11134.42,Middle East,Auction House,Gift Purchase
859,3,2023-03-24,1,11884.26,11884.26,Middle East,Online Exclusive,Collector
835,7,2023-03-24,1,27163.76,27163.76,Europe,Authorized Dealer,Gift Purchase
995,10,2023-03-24,1,240757.52,240757.52,Middle East,Authorized Dealer,Investor
495,4,2023-03-24,1,47186.47,47186.47,North America,Online Exclusive,Investor
346,5,2023-03-26,1,30410.66,30410.66,India,Authorized Dealer,First-time Buyer
635,3,2023-03-26,1,13384.51,13384.51,India,Authorized Dealer,Gift Purchase
420,8,2023-03-26,1,37782.44,37782.44,Middle East,Online Exclusive,First-time Buyer
1386,7,2023-03-26,1,27826.69,27826.69,Middle East,Boutique Store,Collector
201,6,2023-03-26,1,38713.88,38713.88,Middle East,Boutique Store,First-time Buyer
188,7,2023-03-26,1,27202.59,27202.59,North America,Authorized Dealer,Gift Purchase
682,3,2023-03-27,1,13309.17,13309.17,North America,Auction House,First-time Buyer
1012,1,2023-03-28,1,10271.21,10271.21,Europe,Online Exclusive,Investor
298,8,2023-03-28,1,34697.89,34697.89,North America,Boutique Store,First-time Buyer
1264,6,2023-03-29,1,37760.37,37760.37,India,Auction House,Collector
505,1,2023-03-29,1,10132.26,10132.26,North America,Boutique Store,Investor
1045,2,2023-03-29,1,15676.06,15676.06,Middle East,Boutique Store,First-time Buyer
1190,6,2023-03-30,1,37056.26,37056.26,Middle East,Auction House,Collector
395,7,2023-03-31,1,27514.11,27514.11,Middle East,Boutique Store,Collector
400,3,2023-04-01,1,13103.92,13103.92,Asia Pacific,Boutique Store,Collector
1315,3,2023-04-01,1,13135.91,13135.91,Asia Pacific,Authorized Dealer,Investor
159,2,2023-04-01,1,16014.35,16014.35,Europe,Auction House,First-time Buyer
227,2,2023-04-02,1,16112.94,16112.94,North America,Boutique Store,Gift Purchase
1547,8,2023-04-02,1,35298.73,35298.73,Europe,Online Exclusive,Collector
407,7,2023-04-02,1,27158.19,27158.19,India,Auction House,Collector
26,7,2023-04-03,1,27283.02,27283.02,India,Online Exclusive,First-time Buyer
716,3,2023-04-04,1,12703.42,12703.42,Middle East,Online Exclusive,Collector
573,5,2023-04-04,1,31796.78,31796.78,India,Authorized Dealer,Collector
397,9,2023-04-04,1,212034.98,212034.98,Europe,Auction House,First-time Buyer
49,3,2023-04-04,1,13228.42,13228.42,Europe,Authorized Dealer,First-time Buyer
903,1,2023-04-05,1,11284.78,11284.78,Europe,Online Exclusive,Investor
524,6,2023-04-06,2,37471.43,74942.86,Middle East,Online Exclusive,First-time Buyer
1298,1,2023-04-06,2,11071.86,22143.72,North America,Authorized Dealer,Investor
220,6,2023-04-06,2,37377.42,74754.84,Asia Pacific,Boutique Store,First-time Buyer
1027,6,2023-04-06,1,37811.59,37811.59,Middle East,Auction House,Investor
1792,8,2023-04-06,1,33981.78,33981.78,Europe,Online Exclusive,Collector
1606,5,2023-04-06,1,30799.65,30799.65,North America,Boutique Store,Collector
1249,2,2023-04-07,1,16015.71,16015.71,North America,Boutique Store,First-time Buyer
491,7,2023-04-07,1,30238.24,30238.24,Asia Pacific,Auction House,Investor
797,2,2023-04-08,2,15882.85,31765.7,Asia Pacific,Authorized Dealer,Gift Purchase
373,1,2023-04-08,1,11074.74,11074.74,Asia Pacific,Boutique Store,Gift Purchase
422,2,2023-04-08,1,15245.15,15245.15,North America,Boutique Store,Investor
1473,9,2023-04-08,1,226032.99,226032.99,Middle East,Online Exclusive,First-time Buyer
652,5,2023-04-09,1,30938.79,30938.79,Europe,Authorized Dealer,Collector
776,3,2023-04-09,1,12962.72,12962.72,Europe,Boutique Store,Investor
1749,1,2023-04-09,1,10921.87,10921.87,Europe,Online Exclusive,First-time Buyer
1011,3,2023-04-11,1,12656.56,12656.56,India,Authorized Dealer,First-time Buyer
13,3,2023-04-11,1,12549.22,12549.22,Europe,Online Exclusive,Investor
1359,7,2023-04-12,1,29748.99,29748.99,Europe,Boutique Store,First-time Buyer
1622,2,2023-04-13,1,14611.29,14611.29,North America,Boutique Store,First-time Buyer
1309,4,2023-04-14,1,43327.39,43327.39,India,Authorized Dealer,Gift Purchase
1776,1,2023-04-14,1,10737.24,10737.24,Middle East,Authorized Dealer,Collector
1774,1,2023-04-14,1,10388.92,10388.92,Europe,Authorized Dealer,Gift Purchase
1425,1,2023-04-15,1,10452.6,10452.6,Europe,Boutique Store,First-time Buyer
636,1,2023-04-15,1,10356.67,10356.67,Asia Pacific,Authorized Dealer,Investor
761,1,2023-04-16,1,10046.57,10046.57,Middle East,Authorized Dealer,First-time Buyer
392,4,2023-04-16,1,48558.79,48558.79,Middle East,Auction House,Gift Purchase
915,5,2023-04-17,2,32857.76,65715.52,Europe,Authorized Dealer,Investor
1609,1,2023-04-18,1,10880.08,10880.08,North America,Boutique Store,Collector
1396,6,2023-04-19,1,38473.41,38473.41,North America,Boutique Store,Gift Purchase
225,9,2023-04-19,1,226943.73,226943.73,Asia Pacific,Authorized Dealer,Investor
845,3,2023-04-19,1,13202.26,13202.26,Middle East,Authorized Dealer,Investor
413,7,2023-04-20,1,29587.09,29587.09,North America,Boutique Store,First-time Buyer
1275,1,2023-04-20,1,10434.74,10434.74,Asia Pacific,Boutique Store,First-time Buyer
611,6,2023-04-20,1,37779.71,37779.71,India,Authorized Dealer,Collector
1657,2,2023-04-21,1,15153.51,15153.51,Europe,Boutique Store,First-time Buyer
658,10,2023-04-21,1,238060.71,238060.71,Asia Pacific,Boutique Store,First-time Buyer
705,4,2023-04-21,1,47805.46,47805.46,Asia Pacific,Authorized Dealer,Investor
1135,3,2023-04-22,1,13247.78,13247.78,Asia Pacific,Online Exclusive,First-time Buyer
202,2,2023-04-24,1,15891.64,15891.64,Asia Pacific,Boutique Store,First-time Buyer
1075,8,2023-04-24,1,34897.23,34897.23,Middle East,Online Exclusive,First-time Buyer
1102,10,2023-04-25,1,242064.28,242064.28,Asia Pacific,Authorized Dealer,Gift Purchase
168,2,2023-04-26,1,15418.13,15418.13,Asia Pacific,Authorized Dealer,Gift Purchase
372,1,2023-04-27,1,10986.78,10986.78,Middle East,Authorized Dealer,Gift Purchase
647,8,2023-04-28,1,37269.89,37269.89,North America,Online Exclusive,Collector
811,1,2023-04-28,1,10518.2,10518.2,Europe,Authorized Dealer,Investor
749,3,2023-04-29,1,13261.17,13261.17,Middle East,Boutique Store,Investor
584,3,2023-04-29,1,12945.38,12945.38,India,Authorized Dealer,First-time Buyer
1781,3,2023-04-30,1,12334.47,12334.47,India,Authorized Dealer,Gift Purchase
1365,2,2023-04-30,1,16005.49,16005.49,India,Authorized Dealer,First-time Buyer
79,5,2023-05-01,1,31884.27,31884.27,India,Auction House,First-time Buyer
557,1,2023-05-01,1,10221.89,10221.89,Asia Pacific,Authorized Dealer,First-time Buyer
452,2,2023-05-01,2,14468.86,28937.72,Europe,Boutique Store,First-time Buyer
78,8,2023-05-02,1,37484.99,37484.99,Middle East,Authorized Dealer,First-time Buyer
1014,6,2023-05-02,1,38077.17,38077.17,Europe,Boutique Store,Investor
465,5,2023-05-02,1,31758.47,31758.47,Middle East,Authorized Dealer,Gift Purchase
1006,6,2023-05-02,1,37800.41,37800.41,North America,Boutique Store,First-time Buyer
1393,7,2023-05-02,1,29915.85,29915.85,Europe,Boutique Store,Gift Purchase
1242,3,2023-05-03,1,11894.51,11894.51,Middle East,Online Exclusive,Collector
1793,2,2023-05-03,1,15183.5,15183.5,North America,Authorized Dealer,Collector
1517,2,2023-05-03,1,15312.41,15312.41,Middle East,Authorized Dealer,Collector
8,3,2023-05-04,1,13347.94,13347.94,North America,Authorized Dealer,First-time Buyer
1189,2,2023-05-04,1,14955.8,14955.8,India,Auction House,Investor
953,1,2023-05-04,1,10573.43,10573.43,Europe,Online Exclusive,Gift Purchase
1651,3,2023-05-04,1,13375.24,13375.24,Europe,Boutique Store,Collector
382,5,2023-05-05,1,31458.31,31458.31,Europe,Boutique Store,Collector
615,2,2023-05-06,1,14716.89,14716.89,North America,Boutique Store,Collector
1497,1,2023-05-06,1,10873.81,10873.81,Europe,Authorized Dealer,First-time Buyer
1476,2,2023-05-06,1,15378.64,15378.64,India,Auction House,Collector
208,10,2023-05-06,1,252350.55,252350.55,Asia Pacific,Authorized Dealer,Investor
1525,5,2023-05-07,1,30634.65,30634.65,Asia Pacific,Authorized Dealer,Collector
511,2,2023-05-08,1,14846.56,14846.56,Europe,Boutique Store,Collector
209,4,2023-05-08,1,47755.25,47755.25,Middle East,Boutique Store,Collector
560,1,2023-05-09,2,10213.88,20427.76,India,Boutique Store,Collector
1700,6,2023-05-09,1,37786.81,37786.81,Asia Pacific,Authorized Dealer,Collector
271,2,2023-05-11,1,15129.92,15129.92,India,Online Exclusive,Collector
1658,10,2023-05-11,1,247926.96,247926.96,North America,Auction House,Collector
232,8,2023-05-11,1,34220.12,34220.12,North America,Boutique Store,First-time Buyer
374,1,2023-05-11,2,10971.09,21942.18,Europe,Boutique Store,Collector
989,2,2023-05-11,1,15363.4,15363.4,North America,Authorized Dealer,Collector
1252,1,2023-05-11,1,11241.59,11241.59,Asia Pacific,Boutique Store,Collector
1509,3,2023-05-12,1,13271.03,13271.03,Middle East,Auction House,Investor
106,2,2023-05-12,1,14722.51,14722.51,Asia Pacific,Authorized Dealer,Collector
134,2,2023-05-12,1,15472.42,15472.42,India,Authorized Dealer,Collector
592,1,2023-05-13,1,10704.13,10704.13,Middle East,Boutique Store,Investor
360,7,2023-05-13,1,27724.55,27724.55,Asia Pacific,Online Exclusive,Investor
1046,1,2023-05-13,1,10270.24,10270.24,Middle East,Online Exclusive,Collector
